name,source,gender,wikidata,type
Coppiplatz,wikidata,+,Q70772;Q68152,way
Coppistraße,wikidata,+,Q70772;Q68152,way
Geschwister-Scholl-Straße,wikidata,+,Q76972;Q57820,way
Schulze-Boysen-Straße,wikidata,+,Q69042;Q66784,way
Käthe-Kollwitz-Straße,wikidata,?,Q142472;Q164683,way
Adamsweg,wikidata,F,Q448583,way
Adelgunde-Gottsched-Weg,wikidata,F,Q65863,way
Amalienstraße,wikidata,F,Q110788339,way
Anna-Heinicke-Platz,wikidata,F,Q24630347,way
Anna-Kuhnow-Straße,wikidata,F,Q63485483,way
Annemarie-Renger-Straße,wikidata,F,Q66138,way
Antonienstraße,wikidata,F,Q106616697,way
Arminiushof,wikidata,F,Q354698,way
Auguste-Hennig-Straße,wikidata,F,Q62082680,way
Auguste-Schmidt-Straße,wikidata,F,Q89677,way
Auguste-Schulze-Straße,wikidata,F,Q110983962,way
Barbarastraße,wikidata,F,Q111141852,way
Benedekring,wikidata,F,Q2419550,way
Bertha-Beckmann-Weg,wikidata,F,Q827754,way
Berthastraße,wikidata,F,Q111362654,way
Bontjes-van-Beek-Straße,wikidata,F,Q70593,way
Bothestraße,wikidata,F,Q1411832,way
Brandensteinstraße,wikidata,F,Q111517291,way
Brunsweg,wikidata,F,Q1713604,way
Clara-Wieck-Straße,wikidata,F,Q132232,way
Clara-Zetkin-Straße,wikidata,F,Q75823,way
Dohnaweg,wikidata,F,Q354698,way
Dorotheenplatz,wikidata,F,Q124553149,way
Dr.-Margarete-Blank-Straße,wikidata,F,Q1894948,way
Elisabeth-Schumacher-Straße,wikidata,F,Q74405,way
Elli-Voigt-Straße,wikidata,F,Q1332129,way
Elsa-Brändström-Straße,wikidata,F,Q469673,way
Erika-von-Brockdorff-Straße,wikidata,F,Q105948,way
Eva-Maria-Buch-Straße,wikidata,F,Q87804,way
Friederikenstraße,wikidata,F,Q55915935,way
Goldschmidtstraße,wikidata,F,Q101946,way
Grunertstraße,wikidata,F,Q111362654,way
Hedwig-Burgheim-Straße,wikidata,F,Q1593326,way
Hedwigstraße,wikidata,F,Q25828841,way
Holbergstraße,wikidata,F,Q116563786,way
Ilse-Decho-Weg,wikidata,F,Q1659103,way
Judith-Auer-Straße,wikidata,F,Q110071,way
Jutta-Hipp-Weg,wikidata,F,Q442477,way
Lähnestraße,wikidata,F,Q124625672,way
Lammertweg,wikidata,F,Q65378679,way
Lene-Voigt-Straße,wikidata,F,Q1119328,way
Leplaystraße,wikidata,F,Q122870691,way
Lise-Meitner-Straße,wikidata,F,Q56189,way
Liselotte-Herrmann-Straße,wikidata,F,Q110098,way
Liviastraße,wikidata,F,Q110946,way
Louise-Otto-Peters-Allee,wikidata,F,Q71507,way
Louise-Otto-Peters-Platz,wikidata,F,Q71507,way
Margarete-von-Wrangell-Straße,wikidata,F,Q539172,way
Margaretha-Rothe-Straße,wikidata,F,Q105965,way
Maria-Grollmuß-Straße,wikidata,F,Q106533,way
Mariannenstraße,wikidata,F,Q106041157,way
Neuberinstraße,wikidata,F,Q68316,way
Niederkirchnerstraße,wikidata,F,Q1795540,way
Philippine-Arndt-Weg,wikidata,F,Q94737823,way
Rauchfussweg,wikidata,F,Q51809,way
Rosa-Luxemburg-Straße,wikidata,F,Q7231,way
Ruth-Pfau-Straße,wikidata,F,Q77128,way
Schlotterbeckstraße,wikidata,F,Q1515624,way
Schröterstraße,wikidata,F,Q64880,way
Seelestraße,wikidata,F,Q97284,way
Simildenstraße,wikidata,F,Q19309161,way
Sophie-Scholl-Straße,wikidata,F,Q76972,way
Steyberweg,wikidata,F,Q55892977,way
Tarostraße,wikidata,F,Q77347,way
