name,source,gender,wikidata,type
Addis-Abeba-Platz,wikidata,,Q3624,way
Ahorngasse,wikidata,,Q42292,way
"Alte Dübener Landstraße",wikidata,,Q12041,relation+way
"Am Mückenschlößchen",wikidata,,Q49238140,way
Amazonstraße,wikidata,,Q3884,way
Amselweg,wikidata,,Q25234,way
"An der Alten Mühle",wikidata,,Q180997,way
"An der Autobahn",wikidata,,Q46622,way
BMW-Allee,wikidata,,Q26678,way
Bäckergasse,wikidata,,Q160131,way
Balderstraße,wikidata,,Q131658,way
Bergweg,wikidata,,Q8502,way
"Berliner Straße",wikidata,,Q1457069,way
Bernadotteweg,wikidata,,Q65097240,way
Birkengasse,wikidata,,Q25243,way
"Bornaische Straße",wikidata,,Q10744,way
"Brandenburger Straße",wikidata,,Q3931,way
"Breitenfelder Straße",wikidata,,Q873362,way
Brühl,wikidata,,Q30198,way
Brunhildstraße,wikidata,,Q850506,way
Buchengasse,wikidata,,Q25403,way
Burgplatz,wikidata,,Q880657,relation+way
Burgstraße,wikidata,,Q880657,way
"Delitzscher Straße",wikidata,,Q12052,way
"Dingolfinger Straße",wikidata,,Q225909,way
Dohlenweg,wikidata,,Q25345384,way
Don-Carlos-Straße,wikidata,,Q50764148,way
Donarstraße,wikidata,,Q42952,way
"Dösner Straße",wikidata,,Q1271509,way
Drosselweg,wikidata,,Q26050,way
Elsterstraße,wikidata,,Q44729,way
Forsetistraße,wikidata,,Q62548,way
Frau-Holle-Weg,wikidata,,Q19196838,way
Fullaweg,wikidata,,Q847429,way
Funkenburgstraße,wikidata,,Q1474350,way
Gewandgäßchen,wikidata,,Q519613,way
"Göbschelwitzer Straße",wikidata,,Q1559171,way
"Grimmaische Straße",wikidata,,Q10780,way
Grimmweg,wikidata,,Q2793;Q6701;Q6714,way
Gudrunstraße,wikidata,,Q1257834,way
Gutsweg,wikidata,,Q12292478,way
Heimdallstraße,wikidata,,Q131196,way
"Hohe Heide",wikidata,,Q1313431,way
"Holzhäuser Straße",wikidata,,Q1625540,way
Hotherstraße,wikidata,,Q204900,way
Idunweg,wikidata,,Q204691,way
Karl-Helbig-Straße,wikidata,,,way
Karl-Moor-Weg,wikidata,,Q55618403,way
Kastanienstraße,wikidata,,Q129324,way
Kastorweg,wikidata,,Q11294144,way
Kolonnadenstraße,wikidata,,Q657100,way
Kornweg,wikidata,,Q12117,way
Kranichweg,wikidata,,Q4764,way
Kriemhildstraße,wikidata,,Q1257834,way
Kuckucksweg,wikidata,,Q18845,way
Kupfergasse,wikidata,,Q753,way
"Lausicker Straße",wikidata,,Q10739,way
Lermastraße,wikidata,,Q54998954,way
Lermontowstraße,wikidata,,Q18399418,way
Les-Epesses-Straße,wikidata,,Q288657,way
"Leutzscher Allee",wikidata,,Q879866,way
Lindengasse,wikidata,,Q127849,way
"Lützner Straße",wikidata,,Q517174,way
Magazingasse,wikidata,,Q114768,way
"Merkwitzer Straße",wikidata,,Q22693034,way
"Merseburger Straße",wikidata,,Q14945,way
Messe-Allee,wikidata,,Q57305,way
Michaelisstraße,wikidata,,Q45581,way
Mühlgrabenweg,wikidata,,Q736691,way
Nachtigallenweg,wikidata,,Q25393,way
"Naunhofer Straße",wikidata,,Q10771,way
Nikolaistraße,wikidata,,Q694286,way
Petersstraße,wikidata,,Q436073,way
"Platz des 20. Juli 1944",wikidata,,Q105570,way
"Plauensche Straße",wikidata,,Q3952,way
"Plaußiger Weg",wikidata,,Q2098961,way
"Podelwitzer Weg",wikidata,,Q2100222,way
Polluxweg,wikidata,,Q12046224,way
Posastraße,wikidata,,Q63487053,way
Poststraße,wikidata,,Q157645,way
"Prager Straße",wikidata,,Q1085,way
Ratsfreischulstraße,wikidata,,Q2132863,way
"Regensburger Straße",wikidata,,Q2978,way
Reichsstraße,wikidata,,Q883276,way
Ritterstraße,wikidata,,Q102083,way
Roßplatz,wikidata,,Q1759735,way
"Schönauer Straße",wikidata,,Q1069555,way
Schuhmachergäßchen,wikidata,,Q152355,way
Schulgasse,wikidata,,Q3914,way
Schwalbenweg,wikidata,,Q39861,way
"Seehausener Allee",wikidata,,Q2264934,way
Seeweg,wikidata,,Q85842470,way
Siegfriedplatz,wikidata,,Q537554,way
Siegfriedstraße,wikidata,,Q537554,way
Storchenweg,wikidata,,Q28507,way
Tellweg,wikidata,,Q30908,way
"Torgauer Straße",wikidata,,Q12062,way
Universitätsstraße,wikidata,,Q154804,way
Waldstraße,wikidata,,Q2541972,way
"Wettiner Straße",wikidata,,Q152909,way
Wodanstraße,wikidata,,Q43610,way
